CJ,Name,Formula,RT,Detected.in,confirmation,HMDB ID
CJ1381,arg ala isomer,C9H19N5O3,,,,
CJ1382,arg thr arg asn  isomer,C31H39N5O4,,,,
CJ1383,Arginylglutamic acid,C11H21N5O5,,,,HMDB0028708
CJ1384,Arginylhydroxyproline,C11H21N5O4,,,,HMDB0028710
CJ1385,Artabsinolide A,C15H20O5,,,,HMDB0035620
CJ1386,arteether  isomer,C17H28O5,,,,
CJ1387,Asparaginylglutamic acid,C9H15N3O6,,,,HMDB0028730
CJ1388,asp lys isomer,C10H19N3O5,,,,
CJ1389,Asparaginylhydroxyproline,C9H15N3O5,,,,HMDB0028732
CJ1390,Asparagoside A,C33H54O8,,,,HMDB0030046
CJ1391,Aspartylglycosamine,C12H21N3O8,,,,HMDB0000489
CJ1392,athyriol  isomer,C14H10O6,,,,
CJ1393,Austalide L,C25H32O6,,,,HMDB0030158
CJ1394,avenanthramide e  isomer,C17H15NO5,,,,
CJ1395,azadirone isomer,C21H41O7P,,,,
CJ1396,Barbital,C8H12N2O3,,,,HMDB0248870
CJ1397,bb-22 3-carboxyindole metabolite isomer,C16H19NO2,,,,
CJ1398,Behenoylglycine,C24H47NO3,,,,HMDB0013219
CJ1399,Oxybuprocaine,C17H28N2O3,,,,HMDB0015029
CJ1400,Quinone,C6H4O2,,,,HMDB0003364
CJ1401,benzyl b-l-arabinopyranoside isomer,C13H18O4,,,,
CJ1402,(R)-2-Benzylsuccinate,C11H12O4,,,,HMDB0012127
CJ1403,Bergaptol,C11H6O4,,,,HMDB0013679
CJ1404,Betamethasone,C22H29FO5,,,,HMDB0014586
CJ1405,Bethanechol,C7H16N2O2,,,,HMDB0015154
CJ1406,b-hydroxyisobutyryl-coa isomer,C25H42N7O18P3S,,,,
CJ1407,Bicine,C6H13NO4,,,,HMDB0011727
CJ1408,Biotin amide,C10H17N3O2S,,,,HMDB0001458
CJ1409,Bisnorcholic acid,C22H36O5,,,,HMDB0002082
CJ1410,Bisoprolol,C18H31NO4,,,,HMDB0014750
CJ1411,bis-tert-butoxycarbonyl-amino-oxy-acetic acid  isomer,C12H21NO7,,,,
CJ1412,Blumenol C glucoside,C19H32O7,,,,HMDB0040668
CJ1413,b-octylglucoside  isomer,C14H28O6,,,,
CJ1414,Bosentan,C27H29N5O6S,,,,HMDB0014699
CJ1415,bt2(sigma) isomer,C9H5ClO2S,,,,
CJ1416,Budesonide,C25H34O6,,,,HMDB0015353
CJ1417,butyl isodecyl phthalate  isomer,C22H34O4,,,,
CJ1418,Butyryl-CoA,C25H42N7O17P3S,,,,HMDB0001088
CJ1419,Cabergoline,C26H37N5O2,,,,HMDB0014393
CJ1420,Calcitriol,C27H44O3,,,,HMDB0001903
CJ1421,Calonectrin,C19H26O6,,,,HMDB0034915
CJ1422,Canrenone,C22H28O3,,,,HMDB0003033
CJ1423,Caproylcholine,C11H23NO2,,,,HMDB0013224
CJ1424,Carbamazepine-O-quinone,C15H10N2O3,,,,HMDB0060566
CJ1425,carboxymethyl-glutamate  isomer,C7H11NO6,,,,
CJ1426,Carnosol,C20H26O4,,,,HMDB0002121
CJ1427,chaparrinone  isomer,C20H26O7,,,,
CJ1428,Cholesterol sulfate,C27H46O4S,,,,HMDB0000653
CJ1429,Chondroitin,C14H21NO11,,,,HMDB0000629
CJ1430,Cibaric acid,C18H28O5,,,,HMDB0038580
CJ1431,Cincassiol B,C20H32O8,,,,HMDB0036855
CJ1432,Citronellyl propionate,C13H24O2,,,,HMDB0037226
CJ1433,Citrusin E,C17H24O9,,,,HMDB0039234
CJ1434,Ubiquinone-4,C29H42O4,,,,HMDB0006710
